pet     pˈatəh
sˈujus  sˈahəs
sˈiʔes  shˈiʔes
sˈathəh shˈathəh
sˈasaz  shˈasaz
sˈasən  shˈasən
sˈasəh  shˈasəh
sˈakəs  shˈakəs
sˈajək  shˈek
sˈakəh  shˈakəh

tek     tˈakəh
tˈəkus  tˈakhəs
tˈikʔes tikhˈiʔes
tˈakθəh takhˈathəh
tˈaksaz takhˈasaz
tˈekz   takhˈasən
tˈaksəh takhˈasəh
tˈakkəs takhˈakəs
tˈakək  tekhˈek
tˈakkəh takhˈakəh

təp     tˈapəh
tˈopus  tˈaphəs
tˈipʔes tiphˈiʔes
tˈapθəh taphˈathəh
tˈapsaz taphˈasaz
tˈəpz   taphˈasən
tˈapsəh taphˈasəh
tˈapkəs taphˈakəs
tˈapək  təphˈek
tˈapkəh taphˈakəh

t       tˈṙh
tˈṙwəs  tˈṙhəs
tˈṙʔes  thˈiʔes
tˈṙthəh thˈathəh
tˈṙsaz  thˈasaz
tˈṙsən  thˈasən
tˈṙsəh  thˈasəh
tˈṙkəs  thˈakəs
tˈṙk    thˈek
tˈṙkəh  thˈakəh

tət     tˈatəh
tˈotus  tˈathəs
tˈitʔes tithˈiʔes
tˈatθəh tathˈathəh
tˈatsaz tathˈasaz
tˈətz   tathˈasən
tˈatsəh tathˈasəh
tˈatkəs tathˈakəs
tˈatək  təthˈek
tˈatkəh tathˈakəh

θet     θˈatəh
θˈətus  θˈathəs
θˈitʔes θithˈiʔes
θˈatθəh θathˈathəh
θˈatsaz θathˈasaz
θˈetz   θathˈasən
θˈatsəh θathˈasəh
θˈatkəs θathˈakəs
θˈatək  θethˈek
θˈatkəh θathˈakəh

θṙh     θˈṙhəh
θˈṙhus  θˈṙhhəs
θˈṙhʔes θṙhhˈiʔes
θˈṙθhəh θṙhhˈathəh
θˈṙhsaz θṙhhˈasaz
θˈṙsən  θṙhhˈasən
θˈṙhsəh θṙhhˈasəh
θˈṙhkəs θṙhhˈakəs
θˈṙhək  θṙhhˈek
θˈṙhkəh θṙhhˈakəh

ten      tˈanəh
tˈənus   tˈanhəs
tˈinʔes  tinhˈiʔes
tˈannhəh tanhˈathəh
tˈansaz  tanhˈasaz
tˈazən   tanhˈasən
tˈansəh  tanhˈasəh
tˈaŋkəs  tanhˈakəs
tˈaŋək   tenhˈek
tˈaŋkəh  tanhˈakəh

nnek     nnˈakəh
nnˈəkus  nnˈakhəs
nnˈikʔes nnikhˈiʔes
nnˈakθəh nnakhˈathəh
nnˈaksaz nnakhˈasaz
nnˈekz   nnakhˈasən
nnˈaksəh nnakhˈasəh
nnˈakkəs nnakhˈakəs
nnˈakək  nnekhˈek
nnˈakkəh nnakhˈakəh

tok     tˈakəh
tˈukus  tˈakhəs
tˈekʔes tekhˈiʔes
tˈakθəh takhˈathəh
tˈaksaz takhˈasaz
tˈokz   takhˈasən
tˈaksəh takhˈasəh
tˈakkəs takhˈakəs
tˈakək  tokhˈek
tˈakkəh takhˈakəh

ta      tˈarəh
tos     tˈahəs
tˈeʔes  thˈiʔes
tˈathəh thˈathəh
tˈasaz  thˈasaz
tˈasən  thˈasən
tˈasəh  thˈasəh
tˈakəs  thˈakəs
tˈarək  thˈek
tˈakəh  thˈakəh

θe      θˈajəh
θˈojus  θˈahəs
θˈiʔes  θhˈiʔes
θˈathəh θhˈathəh
θˈasaz  θhˈasaz
θˈasən  θhˈasən
θˈasəh  θhˈasəh
θˈakəs  θhˈakəs
θˈajək  θhˈek
θˈakəh  θhˈakəh

t       tˈṙh
tˈṙwəs  tˈṙhəs
tˈṙʔes  thˈiʔes
tˈṙthəh thˈathəh
tˈṙsaz  thˈasaz
tˈṙsən  thˈasən
tˈṙsəh  thˈasəh
tˈṙkəs  thˈakəs
tˈṙk    thˈek
tˈṙkəh  thˈakəh

wek     wˈakəh
wˈəkus  wˈakhəs
wˈikʔes wikhˈiʔes
wˈakθəh wakhˈathəh
wˈaksaz wakhˈasaz
wˈekz   wakhˈasən
wˈaksəh wakhˈasəh
wˈakkəs wakhˈakəs
wˈakək  wekhˈek
wˈakkəh wakhˈakəh

w       wˈah
wos     wˈahəs
wˈeʔes  whˈiʔes
wˈathəh whˈathəh
wˈasaz  whˈasaz
wˈasən  whˈasən
wˈasəh  whˈasəh
wˈakəs  whˈakəs
wˈak    whˈek
wˈakəh  whˈakəh

wet     wˈatəh
wˈətus  wˈathəs
wˈitʔes withˈiʔes
wˈatθəh wathˈathəh
wˈatsaz wathˈasaz
wˈetz   wathˈasən
wˈatsəh wathˈasəh
wˈatkəs wathˈakəs
wˈatək  wethˈek
wˈatkəh wathˈakəh

ut     ˈotəh
ˈutus  ˈothəs
ˈitʔes ithˈiʔes
ˈotθəh othˈathəh
ˈotsaz othˈasaz
ˈutz   othˈasən
ˈotsəh othˈasəh
ˈotkəs othˈakəs
ˈotək  uthˈek
ˈotkəh othˈakəh

sef     sˈafəh
sˈəspus sˈafhəs
sˈifʔes sifhˈiʔes
sˈafθəh safhˈathəh
sˈafsaz safhˈasaz
sˈefz   safhˈasən
sˈafsəh safhˈasəh
sˈafkəs safhˈakəs
sˈafək  sefhˈek
sˈafkəh safhˈakəh

    h
us  həs
ʔes hˈiʔes
θəh hˈathəh
saz hˈasaz
z   hˈasən
səh hˈasəh
kəs hˈakəs
k   hˈek
kəh hˈakəh

mbˈekhemb    mbakhˈambəh
mbokhˈəmbus  mbakhˈambhəs
mbekhˈimbʔes mbekhimbhˈiʔes
mbakhˈambθəh mbakhambhˈathəh
mbakhˈambsaz mbakhambhˈasaz
mbakhˈembz   mbakhambhˈasən
mbakhˈambsəh mbakhambhˈasəh
mbakhˈambkəs mbakhambhˈakəs
mbakhˈambək  mbakhembhˈek
mbakhˈambkəh mbakhambhˈakəh

tˈal     tlˈajəh
tˈulus   tlˈahəs
tlˈiʔes  telhˈiʔes
tlˈathəh talhˈathəh
tlˈasaz  talhˈasaz
tlˈasən  talhˈasən
tlˈasəh  talhˈasəh
tlˈakəs  talhˈakəs
tlˈajək  tolhˈek
tlˈakəh  talhˈakəh

nnˈeteh   nntˈahəh
nntˈəhus  nntˈahhəs
nntˈihʔes nntihhˈiʔes
nntˈaθhəh nntahhˈathəh
nntˈahsaz nntahhˈasaz
nntˈasən  nntahhˈasən
nntˈahsəh nntahhˈasəh
nntˈahkəs nntahhˈakəs
nntˈahək  nntehhˈek
nntˈahkəh nntahhˈakəh

hˈippet    happˈatəh
həppˈətus  happˈathəs
hippˈitʔes hippithˈiʔes
happˈatθəh happathˈathəh
happˈatsaz happathˈasaz
heppˈetz   happathˈasən
happˈatsəh happathˈasəh
happˈatkəs happathˈakəs
happˈatək  heppethˈek
happˈatkəh happathˈakəh

hˈot     htˈarəh
htˈurus  htˈahəs
htˈeʔes  hethˈiʔes
htˈathəh hathˈathəh
htˈasaz  hathˈasaz
htˈasən  hathˈasən
htˈasəh  hathˈasəh
htˈakəs  hathˈakəs
htˈarək  hathˈek
htˈakəh  hathˈakəh

jˈendeh   jndˈahəh
jndˈəhus  jndˈahhəs
jndˈihʔes jndihhˈiʔes
jndˈaθhəh jndahhˈathəh
jndˈahsaz jndahhˈasaz
jndˈasən  jndahhˈasən
jndˈahsəh jndahhˈasəh
jndˈahkəs jndahhˈakəs
jndˈahək  jndehhˈek
jndˈahkəh jndahhˈakəh

kˈehteh    kahtˈahəh
kohtˈəhus  kahtˈahhəs
kehtˈihʔes kehtihhˈiʔes
kahtˈaθhəh kahtahhˈathəh
kahtˈahsaz kahtahhˈasaz
kahtˈasən  kahtahhˈasən
kahtˈahsəh kahtahhˈasəh
kahtˈahkəs kahtahhˈakəs
kahtˈahək  kahtehhˈek
kahtˈahkəh kahtahhˈakəh

kˈithemb    kathˈambəh
kəthˈəmbus  kathˈambhəs
kithˈimbʔes kithimbhˈiʔes
kathˈambθəh kathambhˈathəh
kathˈambsaz kathambhˈasaz
kethˈembz   kathambhˈasən
kathˈambsəh kathambhˈasəh
kathˈambkəs kathambhˈakəs
kathˈambək  kethembhˈek
kathˈambkəh kathambhˈakəh

pikhˈisteh    pakhastˈahəh
pəkhostˈəhus  pakhastˈahhəs
pikhistˈihʔes pikhistihhˈiʔes
pakhastˈaθhəh pakhastahhˈathəh
pakhastˈahsaz pakhastahhˈasaz
pakhastˈasən  pakhastahhˈasən
pakhastˈahsəh pakhastahhˈasəh
pakhastˈahkəs pakhastahhˈakəs
pakhastˈahək  pekhəstehhˈek
pakhastˈahkəh pakhastahhˈakəh

lˈatəz   ltˈazəh
ltˈonsus ltˈazhəs
ltˈizʔes ltizhˈiʔes
ltˈaðhəh ltazhˈathəh
ltˈazsaz ltazhˈasaz
ltˈazən  ltazhˈasən
ltˈazsəh ltazhˈasəh
ltˈazkəs ltazhˈakəs
ltˈazək  ltəzhˈek
ltˈazkəh ltazhˈakəh

lˈar     lrˈajəh
lˈorus   lrˈahəs
lrˈiʔes  lerhˈiʔes
lrˈathəh larhˈathəh
lrˈasaz  larhˈasaz
lrˈasən  larhˈasən
lrˈasəh  larhˈasəh
lrˈakəs  larhˈakəs
lrˈajək  larhˈek
lrˈakəh  larhˈakəh

nˈendhemb    nandhˈambəh
nondhˈəmbus  nandhˈambhəs
nendhˈimbʔes nendhimbhˈiʔes
nandhˈambθəh nandhambhˈathəh
nandhˈambsaz nandhambhˈasaz
nandhˈembz   nandhambhˈasən
nandhˈambsəh nandhambhˈasəh
nandhˈambkəs nandhambhˈakəs
nandhˈambək  nandhembhˈek
nandhˈambkəh nandhambhˈakəh

nishˈisteh    nashastˈahəh
nəshostˈəhus  nashastˈahhəs
nishistˈihʔes nishistihhˈiʔes
nashastˈaθhəh nashastahhˈathəh
nashastˈahsaz nashastahhˈasaz
nashastˈasən  nashastahhˈasən
nashastˈahsəh nashastahhˈasəh
nashastˈahkəs nashastahhˈakəs
nashastˈahək  neshəstehhˈek
nashastˈahkəh nashastahhˈakəh

nˈas     nsˈajəh
nˈəsus   nsˈahəs
nsˈiʔes  nishˈiʔes
nsˈathəh nashˈathəh
nsˈasaz  nashˈasaz
nsˈasən  nashˈasən
nsˈasəh  nashˈasəh
nsˈakəs  nashˈakəs
nsˈajək  neshˈek
nsˈakəh  nashˈakəh

ŋˈah     ŋhˈajəh
ŋˈuhus   ŋhˈahəs
ŋhˈiʔes  ŋehhˈiʔes
ŋhˈathəh ŋahhˈathəh
ŋhˈasaz  ŋahhˈasaz
ŋhˈasən  ŋahhˈasən
ŋhˈasəh  ŋahhˈasəh
ŋhˈakəs  ŋahhˈakəs
ŋhˈajək  ŋohhˈek
ŋhˈakəh  ŋahhˈakəh

pethˈisteh    pathastˈahəh
pothostˈəhus  pathastˈahhəs
pethistˈihʔes pethistihhˈiʔes
pathastˈaθhəh pathastahhˈathəh
pathastˈahsaz pathastahhˈasaz
pathastˈasən  pathastahhˈasən
pathastˈahsəh pathastahhˈasəh
pathastˈahkəs pathastahhˈakəs
pathastˈahək  pathəstehhˈek
pathastˈahkəh pathastahhˈakəh

pˈehpet    pahpˈatəh
puhpˈətus  pahpˈathəs
pehpˈitʔes pehpithˈiʔes
pahpˈatθəh pahpathˈathəh
pahpˈatsaz pahpathˈasaz
pohpˈetz   pahpathˈasən
pahpˈatsəh pahpathˈasəh
pahpˈatkəs pahpathˈakəs
pahpˈatək  pohpethˈek
pahpˈatkəh pahpathˈakəh

pˈispet    paspˈatəh
pəspˈətus  paspˈathəs
pispˈitʔes pispithˈiʔes
paspˈatθəh paspathˈathəh
paspˈatsaz paspathˈasaz
pespˈetz   paspathˈasən
paspˈatsəh paspathˈasəh
paspˈatkəs paspathˈakəs
paspˈatək  pespethˈek
paspˈatkəh paspathˈakəh

pˈezhemb    pazhˈambəh
puzhˈəmbus  pazhˈambhəs
pezhˈimbʔes pezhimbhˈiʔes
pazhˈambθəh pazhambhˈathəh
pazhˈambsaz pazhambhˈasaz
pozhˈembz   pazhambhˈasən
pazhˈambsəh pazhambhˈasəh
pazhˈambkəs pazhambhˈakəs
pazhˈambək  pozhembhˈek
pazhˈambkəh pazhambhˈakəh

pˈamsə     pamsˈajəh
pˈumsus    pamsˈahəs
pemsˈiʔes  pemshˈiʔes
pamsˈathəh pamshˈathəh
pamsˈasaz  pamshˈasaz
pamsˈasən  pamshˈasən
pamsˈasəh  pamshˈasəh
pamsˈakəs  pamshˈakəs
pamsˈajək  pomshˈek
pamsˈakəh  pamshˈakəh

ʔˈe      ʔjˈoh
ʔˈojus   ʔjˈahəs
ʔjˈeʔes  ʔejhˈiʔes
ʔjˈathəh ʔajhˈathəh
ʔjˈasaz  ʔajhˈasaz
ʔjˈasən  ʔajhˈasən
ʔjˈasəh  ʔajhˈasəh
ʔjˈakəs  ʔajhˈakəs
ʔjˈok    ʔajhˈek
ʔjˈakəh  ʔajhˈakəh

sˈak     skˈajəh
sˈəkus   skˈahəs
skˈiʔes  sikhˈiʔes
skˈathəh sakhˈathəh
skˈasaz  sakhˈasaz
skˈasən  sakhˈasən
skˈasəh  sakhˈasəh
skˈakəs  sakhˈakəs
skˈajək  sekhˈek
skˈakəh  sakhˈakəh

sˈehhemb    sahhˈambəh
sohhˈəmbus  sahhˈambhəs
sehhˈimbʔes sehhimbhˈiʔes
sahhˈambθəh sahhambhˈathəh
sahhˈambsaz sahhambhˈasaz
sahhˈembz   sahhambhˈasən
sahhˈambsəh sahhambhˈasəh
sahhˈambkəs sahhambhˈakəs
sahhˈambək  sahhembhˈek
sahhˈambkəh sahhambhˈakəh

sˈihemb   shˈambəh
shˈəmbus  shˈambhəs
shˈimbʔes shimbhˈiʔes
shˈambθəh shambhˈathəh
shˈambsaz shambhˈasaz
shˈembz   shambhˈasən
shˈambsəh shambhˈasəh
shˈambkəs shambhˈakəs
shˈambək  shembhˈek
shˈambkəh shambhˈakəh

tˈikhemb    takhˈambəh
təkhˈəmbus  takhˈambhəs
tikhˈimbʔes tikhimbhˈiʔes
takhˈambθəh takhambhˈathəh
takhˈambsaz takhambhˈasaz
tekhˈembz   takhambhˈasən
takhˈambsəh takhambhˈasəh
takhˈambkəs takhambhˈakəs
takhˈambək  tekhembhˈek
takhˈambkəh takhambhˈakəh

θˈṙhpet    θṙhpˈatəh
θṙhpˈətus  θṙhpˈathəs
θṙhpˈitʔes θṙhpithˈiʔes
θṙhpˈatθəh θṙhpathˈathəh
θṙhpˈatsaz θṙhpathˈasaz
θṙhpˈetz   θṙhpathˈasən
θṙhpˈatsəh θṙhpathˈasəh
θṙhpˈatkəs θṙhpathˈakəs
θṙhpˈatək  θṙhpethˈek
θṙhpˈatkəh θṙhpathˈakəh

θˈṙhamb   θhˈambəh
θhˈombus  θhˈambhəs
θhˈembʔes θhembhˈiʔes
θhˈambθəh θhambhˈathəh
θhˈambsaz θhambhˈasaz
θhˈambz   θhambhˈasən
θhˈambsəh θhambhˈasəh
θhˈambkəs θhambhˈakəs
θhˈambək  θhambhˈek
θhˈambkəh θhambhˈakəh

tˈan     tnˈajəh
tˈənus   tnˈahəs
tnˈiʔes  tinhˈiʔes
tnˈathəh tanhˈathəh
tnˈasaz  tanhˈasaz
tnˈasən  tanhˈasən
tnˈasəh  tanhˈasəh
tnˈakəs  tanhˈakəs
tnˈajək  tenhˈek
tnˈakəh  tanhˈakəh

tˈanamb   tnˈambəh
tnˈombus  tnˈambhəs
tnˈembʔes tnembhˈiʔes
tnˈambθəh tnambhˈathəh
tnˈambsaz tnambhˈasaz
tnˈambz   tnambhˈasən
tnˈambsəh tnambhˈasəh
tnˈambkəs tnambhˈakəs
tnˈambək  tnambhˈek
tnˈambkəh tnambhˈakəh

withˈisteh    wathastˈahəh
wəthostˈəhus  wathastˈahhəs
withistˈihʔes withistihhˈiʔes
wathastˈaθhəh wathastahhˈathəh
wathastˈahsaz wathastahhˈasaz
wathastˈasən  wathastahhˈasən
wathastˈahsəh wathastahhˈasəh
wathastˈahkəs wathastahhˈakəs
wathastˈahək  wethəstehhˈek
wathastˈahkəh wathastahhˈakəh

